"the_geom","SYSTEMSTOP","STREET","CROSS_ST","DIR","POS","ROUTESSTPG","OWLROUTES","CITY","PUBLIC_NAM"
"POINT (-87.62791499999997 41.88912800000003)","2,359","STATE","KINZIE","NB","NS","29",,"CHICAGO","State & Kinzie"
"POINT (-87.65470268199999 41.790449998999975)","5,072","RACINE","57TH STREET","NB","NS","44",,"CHICAGO","Racine & 57th Street"
"POINT (-87.55290879199998 41.75196194)","2,604","79TH STREET","EXCHANGE AND METRA","WB","FS","79","N79","CHICAGO","79th Street & Exchange (Metra Station)"
"POINT (-87.675728338 41.939663001999975)","9,308","BELMONT","WOLCOTT","WB","NS","77","N77","CHICAGO","Belmont & Wolcott"
"POINT (-87.689562766 41.73551666200001)","9,513","87TH STREET","WASHTENAW (east leg)","WB","NS","87",,"CHICAGO","87th Street & Washtenaw"
"POINT (-87.74946275299999 41.865902452)","376","ROOSEVELT","50TH AVENUE","WB","NT","12",,"CHICAGO","Roosevelt & 50th Avenue"
"POINT (-87.662244999 41.976334001)","4,798","FOSTER","LAKEWOOD","WB","NS","92",,"CHICAGO","Foster & Lakewood"
"POINT (-87.70823931299998 41.87460174099999)","229","CONGRESS","SPAULDING","WB","NS","7",,"CHICAGO","Congress & Spaulding"
"POINT (-87.64053723400002 41.75983347599998)","10,893","74TH STREET","LOWE","WB","NS","75",,"CHICAGO","74th Street & Lowe"
"POINT (-87.75203041499998 41.86584905900003)","377","ROOSEVELT","51ST AVENUE","WB","NT","12",,"CHICAGO","Roosevelt & 51st Avenue"
"POINT (-87.75161217300001 41.876757286999975)","143","JACKSON","5056 WEST","WB","MB","126",,"CHICAGO","5056 W Jackson"
"POINT (-87.63883358599998 41.91658776700001)","6,599","SEDGWICK","WISCONSIN","SB","NS","37",,"CHICAGO","Sedgwick & Wisconsin"
"POINT (-87.615961336 41.79680468599997)","2,148","KING DRIVE","54TH STREET","NB","FT","3",,"CHICAGO","King Drive & 54th Street"
"POINT (-87.71720732199998 41.84610146099999)","11,211","LAWNDALE","25TH STREET","NB","NS","82",,"CHICAGO","Lawndale & 25th Street"
"POINT (-87.64572800100001 41.82016599999997)","5,900","HALSTED","41ST STREET","NB","NS","8",,"CHICAGO","Halsted & 41st Street"
"POINT (-87.70476521199998 41.83257502399999)","3,066","KEDZIE","3349 SOUTH","SB","MB","35,52",,"CHICAGO","3349 S Kedzie"
"POINT (-87.656880307 41.99816798799998)","1,031","SHERIDAN 6400N","KENMORE","EB","FT","136,147,151","0","CHICAGO","Sheridan & Kenmore"
"POINT (-87.62557297199999 41.794183902999976)","2,308","STATE","GARFIELD","NB","NS","29",,"CHICAGO","State & Garfield"
"POINT (-87.70212273300001 41.74258759899999)","14,940","KEDZIE","83RD STREET","NB","FS","52A",,"CHICAGO","Kedzie & 83rd Street"
"POINT (-87.722075126 41.754866247999985)","12,916","PULASKI","76TH STREET","NB","NS","53A",,"CHICAGO","Pulaski & 76th Street"
"POINT (-87.655287332 41.708551254999975)","6,414","VINCENNES","WINSTON (101ST PLACE)","NB","NT","112",,"CHICAGO","Vincennes & Winston (10200 South)"
"POINT (-87.72237637 41.85178486000001)","6,666","OGDEN","SPRINGFIELD","NEB","NT","157",,"CHICAGO","Ogden & Springfield"
"POINT (-87.661385816 41.852493552)","16,195","CERMAK","LOOMIS","WB","FS","21",,"CHICAGO","Cermak & Loomis"
"POINT (-87.62182938900003 41.852770711000005)","2,190","CERMAK","INDIANA","EB","FS","3,21",,"CHICAGO","Cermak & Indiana"
"POINT (-87.63171554000002 41.853183779000005)","17,444","WENTWORTH","CERMAK","NB","FS","21",,"CHICAGO","Wentworth & Cermak"
"POINT (-87.68847434000003 41.946659899)","12,527","ADDISON","WESTERN","EB","NS","152",,"CHICAGO","Addison & Western"
"POINT (-87.72091556999999 41.89533979599997)","14,515","CHICAGO","HAMLIN","EB","FS","66","N66","CHICAGO","Chicago & Hamlin"
"POINT (-87.68375799900002 41.691708000999995)","12,400","111TH STREET","CAMPBELL","EB","NS","112",,"CHICAGO","111th Street & Campbell"
"POINT (-87.713819635 41.880813878000026)","413","MADISON","ST. LOUIS","EB","NS","20","N20","CHICAGO","Madison & St. Louis"
"POINT (-87.74379199999998 41.916901000999985)","4,032","ARMITAGE","KILPATRICK","EB","NS","73",,"CHICAGO","Armitage & Kilpatrick"
"POINT (-87.823715607 41.952287884999976)","5,597","IRVING PARK","CEMETERY ENTRANCE (7900W)","EB","MB","80",,"CHICAGO","Acacia Park Cemetery"
"POINT (-87.63184000000001 41.848993001)","6,486","WENTWORTH","24TH STREET","NB","NS","24",,"CHICAGO","Wentworth & 24th Street"
"POINT (-87.64610589 41.92192576299999)","6,730","WEBSTER","ORCHARD","WB","NS","37",,"CHICAGO","Webster & Orchard"
"POINT (-87.63051000000002 41.796246999999994)","6,464","WENTWORTH","5400 SOUTH driveway","NB","NS","24",,"CHICAGO","5400 S Wentworth"
"POINT (-87.62401799999998 41.722042999999985)","14,008","95TH STREET","RED LINE STATION","SB","TERM","108",,"CHICAGO","95th Red Line Station"
"POINT (-87.65411999899999 41.84343999999999)","4,445","ARCHER","THROOP","NEB","NS","62","N62","CHICAGO","Archer & Throop"
"POINT (-87.630263001 41.78710000000001)","6,458","WENTWORTH","59TH STREET","NB","NS","24",,"CHICAGO","Wentworth & 59th Street"
"POINT (-87.66847721900001 41.75036322300002)","17,351","79TH STREET","WOOD","WB","FS","79","N79","CHICAGO","79th Street & Wood"
"POINT (-87.78665858900001 41.945723703)","17,356","ADDISON","NARRAGANSETT","WB","FS","152",,"CHICAGO","Addison & Narragansett"
"POINT (-87.80731536899998 41.94532441299998)","17,357","ADDISON","HARLEM","WB","FS","152",,"CHICAGO","Addison & Harlem"
"POINT (-87.74070499999999 41.88047499999999)","403","MADISON","KENTON (west leg)","EB","NS","20","N20","CHICAGO","Madison & Kenton"
"POINT (-87.61226292600003 41.692670464)","2,893","111TH STREET","VERNON","EB","NS","4,111A,115",,"CHICAGO","111th Street & Vernon"
"POINT (-87.54862703700002 41.72818418100002)","11,953","92ND STREET","BALTIMORE","EB","NS","95",,"CHICAGO","92nd Street & Baltimore"
"POINT (-87.737227163 41.749111071000016)","2,723","79TH STREET","KILPATRICK (east leg)","EB","NS","79",,"CHICAGO","79th Street & Kilpatrick"
"POINT (-87.74397362600001 41.924143016000016)","1,307","FULLERTON","KILPATRICK","EB","NS","74",,"CHICAGO","Fullerton & Kilpatrick"
"POINT (-87.72780787099998 41.877006596)","22","JACKSON","KARLOV","EB","FS","126",,"CHICAGO","Jackson & Karlov"
"POINT (-87.71978000000001 41.975526)","4,767","FOSTER","MONTICELLO","EB","NS","92",,"CHICAGO","Foster & Monticello"
"POINT (-87.671980647 42.001785039000026)","1,790","CLARK","ALBION","SB","NS","22","N22","CHICAGO","Clark & Albion"
"POINT (-87.63171899999998 41.90949699999999)","1,847","CLARK","BURTON","SB","NS","22,36","N22","CHICAGO","Clark & Burton"
"POINT (-87.66044699999998 41.98393199999998)","11,474","RIDGE","BROADWAY/BRYN MAWR","NWB","FS","84",,"CHICAGO","Ridge & Broadway/Bryn Mawr"
"POINT (-87.69257800100002 41.977712999999994)","1,368","LINCOLN","BERWYN","SEB","NS","11",,"CHICAGO","Lincoln & Berwyn"
"POINT (-87.69972826999998 41.99764619000001)","11,877","CALIFORNIA","DEVON","SB","NS","93",,"CHICAGO","California & Devon"
"POINT (-87.64227928499997 41.685192786000016)","3,718","HALSTED","115TH STREET","SB","NS","8A,108",,"CHICAGO","Halsted & 115th Street"
"POINT (-87.72720652100003 41.935264878)","14,621","PULASKI","WELLINGTON","SB","FS","53","N53","CHICAGO","Pulaski & Wellington"
"POINT (-87.70465073499997 41.82817003600002)","3,068","KEDZIE","36TH STREET","SB","NS","52",,"CHICAGO","Kedzie & 36th Street"
"POINT (-87.70982611099998 41.83706576399999)","7,451","31ST STREET","HOMAN","EB","NT","35",,"CHICAGO","31st Street & Homan"
"POINT (-87.73213994000002 41.754868026999986)","17,290","76TH STREET","KOSTNER","EB","FS","67",,"CHICAGO","76th Street & Kostner"
"POINT (-87.724111016 41.75499549199998)","17,291","76TH STREET","DALEY COLLEGE","EB","MB","67",,"CHICAGO","76th Street & Daley College"
"POINT (-87.63554025299999 41.886876022000024)","15,009","WACKER (upper)","ORLEANS/FRANKLIN","WB","FS","125",,"CHICAGO","Wacker (Upper) & Orleans/Franklin"
"POINT (-87.787849999 41.97192000000001)","9,696","NAGLE","ARGYLE","NB","NS","86",,"CHICAGO","Nagle & Argyle"
"POINT (-87.676785 41.889636000999985)","8,916","DAMEN","HUBBARD","NB","NS","50",,"CHICAGO","Damen & Hubbard"
"POINT (-87.766099 41.92936100100002)","11,607","CENTRAL","SCHUBERT","NB","NS","85",,"CHICAGO","Central & Schubert"
"POINT (-87.74207026599998 41.776433532)","3,377","CICERO","64TH STREET","NB","NS","54B,165",,"CHICAGO","Cicero & 64th Street"
"POINT (-87.74301803600002 41.80936749199998)","10,393","CICERO","46TH STREET","NB","NS","54B",,"CHICAGO","Cicero & 46th Street"
"POINT (-87.58633138099998 41.77876402800001)","5,318","STONY ISLAND","64TH STREET","NB","MT","6,15,28",,"CHICAGO","Stony Island & 64th Street"
"POINT (-87.72672262399999 41.92623003)","9,118","PULASKI","ALTGELD","NB","NS","53","N53","CHICAGO","Pulaski & Altgeld"
"POINT (-87.74199315499999 41.77469136100001)","10,388","CICERO","65TH STREET","NB","NS","54B",,"CHICAGO","Cicero & 65th Street"
"POINT (-87.70190198 41.891803150999976)","4,218","SACRAMENTO BLVD","OHIO","NB","NS","94",,"CHICAGO","Sacramento & Ohio"
"POINT (-87.80091499999997 41.78085600000003)","7,704","HARLEM","61ST STREET","NB","NS","62H",,"CHICAGO","Harlem & 61st Street"
"POINT (-87.63856635100001 41.912757598999974)","6,725","SEDGWICK","EUGENIE","NB","NS","37",,"CHICAGO","Sedgwick & Eugenie"
"POINT (-87.535164296 41.695362208999995)","7,350","EWING","110TH STREET","NB","NS","30",,"CHICAGO","Ewing & 110th Street"
"POINT (-87.614471621 41.740209332000006)","2,115","KING DRIVE","85TH STREET","NB","FS","3",,"CHICAGO","King Drive & 85th Street"
"POINT (-87.67749926900001 41.91587563799999)","8,932","DAMEN","CORTLAND (south leg)","NB","NS","50",,"CHICAGO","Damen & Cortland"
